Protocol;Version;Gauge Name;Gauge Address;Reward Token;Reward Token Address;Reward Amount;Reward sd Value;Share % Per Protocol
balancer;2.1;B-baoUSD-LUSD-BPT - 0x5aF3B93Fb82ab86…11;0x5aF3B93Fb82ab8691b82a09CBBae7b8D3eB5Ac11;BAL;0xba100000625a3754423978a60c9317c58a424e3D;382.09;132.528;15.32
balancer;2.1;B-baoETH-ETH-BPT - 0xD449Efa0A587f2c…10;0xD449Efa0A587f2cb6BE3AE577Bc167a774525810;BAL;0xba100000625a3754423978a60c9317c58a424e3D;373.39;129.509;14.97
balancer;2.2;Balancer 80Silo-20WETH Gauge Deposit;0x6661136537dfDCA26EEA05c8500502d7D5796E5E;SILO;0x6f80310CA7F2C654691D1383149Fa1A57d8AB1f8;15187.15;43.248;5.00
balancer;2.2;Balancer B-sdBAL-STABLE Gauge Deposit;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;2408.47;71.367;8.25
balancer;Quest;Balancer 50WETH-50AURA Gauge Deposit;0x275dF57d2B23d53e20322b4bb71Bf1dCb21D0A00;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;1239.73;106.228;12.28
balancer;Hidden Hand;rETH-WETH-BPT;0x00b9bcd17cb049739d25fd7f826caa2e23b05620;RPL;0xd33526068d116ce69f19a9ee46f0bd304f21a51f;36.93;86.204;9.97
balancer;Hidden Hand;2BTC;0x21c377cbb2beddd8534308e5cdfebe35fdf817e8;T;0xcdf7028ceab81fa0c6971208e83fa7872994bee5;34401.60;61.429;7.10
balancer;Hidden Hand;50STG-503POOL-BPT;0x4f3f3501f376d93e4e5fd61d4168f871cbf67c97;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;790.25;81.014;9.37
balancer;Hidden Hand;cbETH-wstETH-BPT;0xd66abad5516f668d8ea6157666b74862546e6e80;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;804.12;82.436;9.53
balancer;Hidden Hand;ECLP-wMATIC-MATICx;0x82bcad0c8f51d88ec339141f0d8953bc25cc3d8c;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;374.33;38.375;4.44
balancer;Hidden Hand;BPT;0xE629c43BCad1029E12ED51432B9dd3432b656cc9;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;318.87;32.690;3.78
curve;2.1;polygon-CRV+crvUSDBTCETH (0xc7c9…8Fa7) - 0x40371aad2a24ed8…6c;0x40371aad2a24ed841316EF30938881440FD4426c;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;13346.17;13164.302;4.54
curve;2.1;USDC+WBTC+WETH (0x7F86…829B) - 0x85d44861d024cb7…f6;0x85D44861D024CB7603Ba906F2Dc9569fC02083F6;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;28673.56;28288.169;9.75
curve;2.1;USDT+WBTC+WETH (0xf5f5…e2B4) - 0xf29fff074f5cf75…a2;0xF29FfF074f5cF755b55FbB3eb10A29203ac91EA2;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;32149.37;31710.485;10.93
curve;2.1;USDT+crvUSD (0x390f…7BF4) - 0x4e6bb6b7447b7b2…39;0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;13344.89;13162.905;4.54
curve;2.1;COIL+FRAXBP (0xAF42…DF33) - 0x06b30d5f2341c2f…72;0x06B30D5F2341C2FB3F6B48b109685997022Bd272;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;16367.31;16143.563;5.56
curve;2.1;USDC+crvUSD (0x4DEc…D69E) - 0x95f00391cb5eebc…c1;0x95f00391cB5EebCd190EB58728B4CE23DbFa6ac1;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;23372.87;23054.012;7.95
curve;2.1;crvUSDETHCRV;0x8D867BEf70C6733ff25Cc0D1caa8aA6c38B24817;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;56883.77;56112.277;19.34
curve;2.1;ALCX+FRAXBP (0x4149…9D31) - 0xd5be6a05b45aed5…87;0xD5bE6A05B45aEd524730B6d1CC05F59b021f6c87;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;60.30;756.677;0.26
curve;2.1;MAI+FRAXBP (0x66E3…0Ef9) - 0xb3783f527b7704d…68;0xB3783f527B7704DeeD4993f7c1c779E426A04368;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;3.16;39.701;0.01
curve;2.1;xdai-WXDAI+USDC+USDT (0x7f90…F353) - 0xb721cc32160ab0d…01;0xB721Cc32160Ab0da2614CC6aB16eD822Aeebc101;GNO;0x6810e776880C02933D47DB1b9fc05908e5386b96;6.13;1434.271;0.49
curve;2.1;ETH+LDO (0x9409…72B5) - 0xe5d5aa1bbe72f68…32;0xe5d5Aa1Bbe72F68dF42432813485cA1Fc998DE32;LDO;0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32;3179.89;11133.916;3.84
curve;2.1;ETH+stETH (0x21E2…843a) - 0x79f21bc30632cd4…aa;0x79F21BC30632cd40d2aF8134B469a0EB4C9574AA;LDO;0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32;7574.50;26517.020;9.14
curve;2.1;crvUSD+tBTC+wstETH (0x2889…3D13) - 0x60d3d7ebbc44dc8…7e;0x60d3d7eBBC44Dc810A743703184f062d00e6dB7e;LDO;0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32;6 612.11;23150.038;7.98
curve;2.1;OGV+ETH (0xB5ae…D58c) - 0x98ff4ee7524c501…94;0x98ff4EE7524c501F582C48b828277D2B42bbc894;OGV;0x9c354503C38481a7A7a51629142963F98eCC12D0;225607.93;2535.436;0.87
curve;2.1;ETH+OETH (0x94B1…13E7) - 0xd03be91b1932715…15;0xd03BE91b1932715709e18021734fcB91BB431715;OGV;0x9c354503C38481a7A7a51629142963F98eCC12D0;3770038.58;42409.660;14.62
curve;2.1;MAI+FRAXBP (0x66E3…0Ef9) - 0xb3783f527b7704d…68;0xB3783f527B7704DeeD4993f7c1c779E426A04368;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.13;510.170;0.18
frax;2.1;Saddle L2D4 [Arbitrum] - 0x9b8aed182b8a943…54;0x9B8AEd182B8A9430C14e97Bf2C02F129f2b36854;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;82.95;173.085;26.05
